商品编码,商品名称,部门编号,品类,零售价,进货价
639,商品-639,4,米面,579.63,373.57
640,商品-640,5,食用油,2584.26,1806.68
641,商品-641,6,乳品,3209.98,2143.61
642,商品-642,1,熟食,67.20,51.85
643,商品-643,2,饼干,1270.90,1054.91
644,商品-644,3,饮料,815.72,653.28
645,商品-645,4,清洁,415.32,308.19
646,商品-646,5,纸品,569.77,401.79
647,商品-647,6,小家电,3544.00,2727.37
648,商品-648,1,蔬果,594.27,399.43
649,商品-649,2,肉禽,1177.24,850.71
650,商品-650,3,水产,774.41,494.61
651,商品-651,4,米面,318.95,236.31
652,商品-652,5,食用油,2040.48,1717.63
653,商品-653,6,乳品,1220.04,904.89
654,商品-654,1,熟食,49.82,32.46
655,商品-655,2,饼干,660.04,516.10
656,商品-656,3,饮料,1610.86,1029.70
657,商品-657,4,清洁,756.79,522.89
658,商品-658,5,纸品,1621.23,1121.01
659,商品-659,6,小家电,1030.12,852.75
660,商品-660,1,蔬果,352.55,236.73
661,商品-661,2,肉禽,550.90,409.20
662,商品-662,3,水产,425.81,332.25
663,商品-663,4,米面,343.11,230.46
664,商品-664,5,食用油,1690.68,1066.15
665,商品-665,6,乳品,1590.59,1314.87
666,商品-666,1,熟食,483.33,404.18
667,商品-667,2,饼干,430.15,295.19
668,商品-668,3,饮料,300.34,214.69
669,商品-669,4,清洁,1915.96,1238.89
670,商品-670,5,纸品,255.61,162.30
671,商品-671,6,小家电,844.87,542.82
672,商品-672,1,蔬果,306.83,190.17
673,商品-673,2,肉禽,1311.43,838.37
674,商品-674,3,水产,893.57,583.13
675,商品-675,4,米面,1551.88,1223.98
676,商品-676,5,食用油,42.55,31.48
677,商品-677,6,乳品,3585.59,2954.33
678,商品-678,1,熟食,628.32,494.51
679,商品-679,2,饼干,764.78,572.23
680,商品-680,3,饮料,1375.45,856.95
681,商品-681,4,清洁,401.96,329.74
682,商品-682,5,纸品,900.23,566.45
683,商品-683,6,小家电,310.34,222.91
684,商品-684,1,蔬果,229.56,182.90
685,商品-685,2,肉禽,15.07,12.48
686,商品-686,3,水产,781.74,593.75
687,商品-687,4,米面,2515.81,1909.20
688,商品-688,5,食用油,1511.24,1118.56
689,商品-689,6,乳品,2145.58,1756.21
690,商品-690,1,熟食,594.00,408.93
691,商品-691,2,饼干,1110.29,788.50
692,商品-692,3,饮料,551.68,430.22
693,商品-693,4,清洁,1503.74,1233.89
694,商品-694,5,纸品,2620.64,1896.58
695,商品-695,6,小家电,3610.88,2780.20
696,商品-696,1,蔬果,456.53,354.18
697,商品-697,2,肉禽,462.50,352.09
698,商品-698,3,水产,356.35,222.04
699,商品-699,4,米面,1254.59,1026.10
700,商品-700,5,食用油,2144.84,1296.61
701,商品-701,6,乳品,640.60,540.13
702,商品-702,1,熟食,671.47,435.61
703,商品-703,2,饼干,273.34,189.33
704,商品-704,3,饮料,46.00,28.51
705,商品-705,4,清洁,2658.58,1611.44
706,商品-706,5,纸品,446.95,363.29
707,商品-707,6,小家电,1774.07,1269.05
708,商品-708,1,蔬果,607.29,459.10
709,商品-709,2,肉禽,1260.17,912.65
710,商品-710,3,水产,545.71,435.85
711,商品-711,4,米面,899.32,650.00
712,商品-712,5,食用油,1116.87,677.22
713,商品-713,6,乳品,2738.92,1657.06
714,商品-714,1,熟食,663.13,533.59
715,商品-715,2,饼干,1017.11,642.52
716,商品-716,3,饮料,1335.33,1008.61
717,商品-717,4,清洁,741.76,622.85
718,商品-718,5,纸品,2563.63,1545.10
719,商品-719,6,小家电,822.24,539.28
720,商品-720,1,蔬果,432.48,326.13
721,商品-721,2,肉禽,135.12,96.93
722,商品-722,3,水产,724.60,567.26
723,商品-723,4,米面,36.80,29.29
724,商品-724,5,食用油,2934.88,1988.80
725,商品-725,6,乳品,129.02,95.23
726,商品-726,1,熟食,393.85,328.93
727,商品-727,2,饼干,18.12,14.56
728,商品-728,3,饮料,905.38,638.61
729,商品-729,4,清洁,854.74,528.79
730,商品-730,5,纸品,3087.55,2087.19
731,商品-731,6,小家电,582.41,461.46
732,商品-732,1,蔬果,50.16,30.16
733,商品-733,2,肉禽,512.65,312.14
734,商品-734,3,水产,884.44,610.25
735,商品-735,4,米面,340.72,270.40
736,商品-736,5,食用油,1067.80,797.65
737,商品-737,6,乳品,1864.41,1534.44
738,商品-738,1,熟食,627.99,389.13
739,商品-739,2,饼干,1159.52,697.85
740,商品-740,3,饮料,1371.91,1030.18
741,商品-741,4,清洁,1739.22,1335.85
742,商品-742,5,纸品,804.10,520.99
743,商品-743,6,小家电,3427.69,2446.55
744,商品-744,1,蔬果,597.95,500.48
745,商品-745,2,肉禽,871.42,570.97
746,商品-746,3,水产,1244.65,1045.93
747,商品-747,4,米面,1700.79,1261.99
748,商品-748,5,食用油,2738.66,1800.81
749,商品-749,6,乳品,3945.30,2874.75
750,商品-750,1,熟食,571.65,430.75
751,商品-751,2,饼干,1269.59,880.65
752,商品-752,3,饮料,1142.16,824.84
753,商品-753,4,清洁,2472.57,1990.35
754,商品-754,5,纸品,768.79,539.18
755,商品-755,6,小家电,1728.27,1353.32
756,商品-756,1,蔬果,624.85,506.32
757,商品-757,2,肉禽,641.36,429.38
758,商品-758,3,水产,1834.00,1409.27
759,商品-759,4,米面,1763.75,1297.54
760,商品-760,5,食用油,1199.68,770.01
761,商品-761,6,乳品,1955.89,1522.01
762,商品-762,1,熟食,604.56,402.68
763,商品-763,2,饼干,546.95,454.70
764,商品-764,3,饮料,1488.07,1161.57
765,商品-765,4,清洁,1662.83,1370.56
766,商品-766,5,纸品,11.39,7.14
767,商品-767,6,小家电,860.23,710.99
768,商品-768,1,蔬果,433.47,282.76
769,商品-769,2,肉禽,41.44,33.69
770,商品-770,3,水产,546.13,349.50
771,商品-771,4,米面,1498.72,903.15
772,商品-772,5,食用油,1969.10,1182.41
773,商品-773,6,乳品,104.26,75.63
774,商品-774,1,熟食,402.46,339.11
775,商品-775,2,饼干,214.39,180.55
776,商品-776,3,饮料,1918.70,1327.59
777,商品-777,4,清洁,192.47,130.30
778,商品-778,5,纸品,2634.22,1857.72
779,商品-779,6,小家电,2910.31,1880.45
780,商品-780,1,蔬果,260.92,206.50
781,商品-781,2,肉禽,1073.36,752.72
782,商品-782,3,水产,884.81,635.30
783,商品-783,4,米面,1892.11,1252.63
784,商品-784,5,食用油,1734.00,1432.78
785,商品-785,6,乳品,159.83,127.32
786,商品-786,1,熟食,50.71,33.35
787,商品-787,2,饼干,565.01,434.49
788,商品-788,3,饮料,130.30,103.13
789,商品-789,4,清洁,653.99,506.49
790,商品-790,5,纸品,2720.52,2140.10
791,商品-791,6,小家电,1487.66,1012.31
792,商品-792,1,蔬果,145.25,111.92
793,商品-793,2,肉禽,1039.09,741.97
794,商品-794,3,水产,1407.10,950.78
795,商品-795,4,米面,81.71,63.71
796,商品-796,5,食用油,2774.54,2345.40
797,商品-797,6,乳品,2582.27,1603.49
798,商品-798,1,熟食,486.71,340.57
799,商品-799,2,饼干,996.33,809.55
800,商品-800,3,饮料,1098.44,709.39
801,商品-801,4,清洁,1353.73,916.69
802,商品-802,5,纸品,3089.87,2525.55
803,商品-803,6,小家电,1724.32,1041.88
804,商品-804,1,蔬果,438.30,350.39
805,商品-805,2,肉禽,182.67,111.68
806,商品-806,3,水产,1193.01,821.26
807,商品-807,4,米面,1506.43,1243.82
808,商品-808,5,食用油,2636.46,2107.27
809,商品-809,6,乳品,887.77,717.21
810,商品-810,1,熟食,471.35,299.56
811,商品-811,2,饼干,907.06,552.52
812,商品-812,3,饮料,37.30,24.86
813,商品-813,4,清洁,931.44,648.16
814,商品-814,5,纸品,213.84,142.53
815,商品-815,6,小家电,3402.66,2544.84
816,商品-816,1,蔬果,258.33,162.85
817,商品-817,2,肉禽,1124.48,790.69
818,商品-818,3,水产,375.08,284.54
819,商品-819,4,米面,1476.81,1125.09
820,商品-820,5,食用油,1932.04,1287.90
821,商品-821,6,乳品,82.41,67.38
822,商品-822,1,熟食,313.50,205.94
823,商品-823,2,饼干,754.72,566.00
824,商品-824,3,饮料,167.00,132.22
825,商品-825,4,清洁,2505.30,2005.64
826,商品-826,5,纸品,2037.33,1315.76
827,商品-827,6,小家电,77.38,58.96
828,商品-828,1,蔬果,353.94,225.17
829,商品-829,2,肉禽,1045.47,841.89
830,商品-830,3,水产,173.50,133.30
831,商品-831,4,米面,1827.70,1477.59
832,商品-832,5,食用油,2038.03,1449.09
833,商品-833,6,乳品,213.13,153.10
834,商品-834,1,熟食,330.63,271.00
835,商品-835,2,饼干,294.77,239.72
836,商品-836,3,饮料,851.28,525.94
837,商品-837,4,清洁,2136.52,1705.15
838,商品-838,5,纸品,3305.04,1991.91
839,商品-839,6,小家电,1786.93,1414.15
840,商品-840,1,蔬果,361.91,235.70
841,商品-841,2,肉禽,30.96,26.04
842,商品-842,3,水产,660.19,474.34
843,商品-843,4,米面,635.11,410.47
844,商品-844,5,食用油,2451.86,1772.89
845,商品-845,6,乳品,1912.00,1407.53
846,商品-846,1,熟食,291.24,232.84
847,商品-847,2,饼干,108.59,90.09
848,商品-848,3,饮料,1546.07,1176.13
849,商品-849,4,清洁,569.67,478.00
850,商品-850,5,纸品,2343.80,1905.47
851,商品-851,6,小家电,360.24,284.42
852,商品-852,1,蔬果,579.36,353.21
853,商品-853,2,肉禽,225.16,183.42
854,商品-854,3,水产,1179.29,996.27
855,商品-855,4,米面,160.92,136.67
856,商品-856,5,食用油,479.34,377.26
857,商品-857,6,乳品,3289.36,2100.08
858,商品-858,1,熟食,280.90,187.48
859,商品-859,2,饼干,1139.62,753.99
860,商品-860,3,饮料,574.32,436.52
861,商品-861,4,清洁,469.16,337.04
862,商品-862,5,纸品,2521.35,1939.82
863,商品-863,6,小家电,906.63,759.32
864,商品-864,1,蔬果,124.08,100.87
865,商品-865,2,肉禽,680.28,499.68
866,商品-866,3,水产,429.43,271.28
867,商品-867,4,米面,1502.40,1241.55
868,商品-868,5,食用油,2174.62,1774.35
869,商品-869,6,乳品,1537.54,1007.56
870,商品-870,1,熟食,259.15,205.83
871,商品-871,2,饼干,124.41,82.25
872,商品-872,3,饮料,1201.53,862.06
873,商品-873,4,清洁,2162.02,1440.18
874,商品-874,5,纸品,2478.81,1906.63
875,商品-875,6,小家电,3283.83,2582.17
876,商品-876,1,蔬果,445.69,349.01
877,商品-877,2,肉禽,50.49,33.87
878,商品-878,3,水产,1925.76,1290.68
879,商品-879,4,米面,2194.24,1468.02
880,商品-880,5,食用油,3103.77,2524.41
881,商品-881,6,乳品,1446.61,955.13
882,商品-882,1,熟食,264.61,167.43
883,商品-883,2,饼干,403.17,324.59
884,商品-884,3,饮料,1123.98,777.96
885,商品-885,4,清洁,193.55,117.02
886,商品-886,5,纸品,3083.59,2350.78
887,商品-887,6,小家电,3289.93,2400.23
888,商品-888,1,蔬果,169.04,119.19
889,商品-889,2,肉禽,363.14,239.39
890,商品-890,3,水产,1220.61,843.32
891,商品-891,4,米面,1844.85,1533.87
892,商品-892,5,食用油,1852.65,1138.66
893,商品-893,6,乳品,3406.99,2197.02
894,商品-894,1,熟食,154.69,114.71
895,商品-895,2,饼干,1007.94,774.80
896,商品-896,3,饮料,859.22,699.32
897,商品-897,4,清洁,2550.83,2129.16
898,商品-898,5,纸品,1267.54,905.88
899,商品-899,6,小家电,57.92,45.15
900,商品-900,1,蔬果,259.28,164.74
901,商品-901,2,肉禽,381.71,285.63
902,商品-902,3,水产,1932.83,1196.30
903,商品-903,4,米面,1612.22,1352.32
904,商品-904,5,食用油,2719.04,1984.42
905,商品-905,6,乳品,2068.64,1255.14
906,商品-906,1,熟食,200.60,126.05
907,商品-907,2,饼干,485.53,351.19
908,商品-908,3,饮料,1332.06,886.62
909,商品-909,4,清洁,784.92,552.97
910,商品-910,5,纸品,307.27,241.13
911,商品-911,6,小家电,397.46,248.99
912,商品-912,1,蔬果,344.59,256.20
913,商品-913,2,肉禽,23.30,15.40
914,商品-914,3,水产,807.35,535.89
915,商品-915,4,米面,888.43,649.55
916,商品-916,5,食用油,1113.75,773.73
917,商品-917,6,乳品,536.75,439.97
918,商品-918,1,熟食,647.49,433.87
919,商品-919,2,饼干,1111.94,807.85
920,商品-920,3,饮料,779.66,519.12
921,商品-921,4,清洁,1863.87,1389.95
922,商品-922,5,纸品,1897.39,1281.23
923,商品-923,6,小家电,2319.36,1755.12
924,商品-924,1,蔬果,430.30,352.14
925,商品-925,2,肉禽,1062.68,852.64
926,商品-926,3,水产,389.60,252.83
927,商品-927,4,米面,890.71,751.03
928,商品-928,5,食用油,2064.66,1689.63
929,商品-929,6,乳品,274.33,180.10
930,商品-930,1,熟食,17.39,12.73
931,商品-931,2,饼干,277.24,209.67
932,商品-932,3,饮料,937.53,720.19
933,商品-933,4,清洁,709.75,436.30
934,商品-934,5,纸品,2084.17,1314.57
935,商品-935,6,小家电,335.13,278.65
936,商品-936,1,蔬果,606.74,430.75
937,商品-937,2,肉禽,68.22,43.10
938,商品-938,3,水产,949.51,780.58
939,商品-939,4,米面,1499.76,913.31
940,商品-940,5,食用油,2354.19,1719.66
941,商品-941,6,乳品,1989.88,1228.19
942,商品-942,1,熟食,517.47,406.92
943,商品-943,2,饼干,1109.75,783.67
944,商品-944,3,饮料,160.61,120.30
945,商品-945,4,清洁,1914.88,1190.44
946,商品-946,5,纸品,491.16,380.99
947,商品-947,6,小家电,1670.88,1193.77
948,商品-948,1,蔬果,187.08,115.77
949,商品-949,2,肉禽,845.60,673.51
950,商品-950,3,水产,1892.62,1408.39
951,商品-951,4,米面,1345.77,1035.52
952,商品-952,5,食用油,364.03,269.66
953,商品-953,6,乳品,2684.24,1967.94
954,商品-954,1,熟食,481.37,297.03
955,商品-955,2,饼干,819.45,598.76
956,商品-956,3,饮料,837.17,692.06
957,商品-957,4,清洁,812.89,602.92
958,商品-958,5,纸品,2676.59,2180.67
959,商品-959,6,小家电,3507.49,2469.46
960,商品-960,1,蔬果,28.36,22.56
961,商品-961,2,肉禽,190.21,147.84
962,商品-962,3,水产,898.21,711.49
963,商品-963,4,米面,54.17,42.20
964,商品-964,5,食用油,2730.41,1770.64
965,商品-965,6,乳品,1328.26,981.02
966,商品-966,1,熟食,269.92,189.21
967,商品-967,2,饼干,1011.55,834.71
968,商品-968,3,饮料,65.37,44.87
969,商品-969,4,清洁,1105.74,823.83
970,商品-970,5,纸品,796.86,638.40
971,商品-971,6,小家电,3835.83,2785.20
972,商品-972,1,蔬果,642.36,513.33
973,商品-973,2,肉禽,463.70,294.26
974,商品-974,3,水产,1696.46,1103.99
975,商品-975,4,米面,1849.43,1345.94
976,商品-976,5,食用油,740.48,535.40
977,商品-977,6,乳品,766.17,597.30
978,商品-978,1,熟食,356.74,217.04
979,商品-979,2,饼干,741.82,473.04
980,商品-980,3,饮料,1717.13,1044.39
981,商品-981,4,清洁,2262.41,1835.01
982,商品-982,5,纸品,3263.94,2495.89
983,商品-983,6,小家电,102.57,74.76
984,商品-984,1,蔬果,345.79,223.99
985,商品-985,2,肉禽,984.10,612.81
986,商品-986,3,水产,1017.94,789.47
987,商品-987,4,米面,2128.01,1420.43
988,商品-988,5,食用油,802.88,669.10
989,商品-989,6,乳品,2755.00,2035.51
990,商品-990,1,熟食,275.18,217.49
991,商品-991,2,饼干,882.91,719.72
992,商品-992,3,饮料,1608.55,1021.03
993,商品-993,4,清洁,2095.64,1564.97
994,商品-994,5,纸品,1909.16,1525.42
995,商品-995,6,小家电,239.18,196.39
996,商品-996,1,蔬果,403.69,335.68
997,商品-997,2,肉禽,157.71,124.53
998,商品-998,3,水产,1665.30,1022.26
999,商品-999,4,米面,846.12,717.83
1000,商品-1000,5,食用油,2709.25,1803.31
1001,商品-1001,6,乳品,2139.89,1674.18
1002,商品-1002,1,熟食,277.23,173.94
1003,商品-1003,2,饼干,654.70,445.91
1004,商品-1004,3,饮料,1032.73,673.61
1005,商品-1005,4,清洁,1224.05,1028.08
1006,商品-1006,5,纸品,1800.72,1360.40
1007,商品-1007,6,小家电,2880.65,2149.24
1008,商品-1008,1,蔬果,55.21,44.59
1009,商品-1009,2,肉禽,777.88,604.10
1010,商品-1010,3,水产,64.41,41.57
1011,商品-1011,4,米面,930.83,717.66
1012,商品-1012,5,食用油,2365.15,1908.43
1013,商品-1013,6,乳品,2740.04,2143.71
1014,商品-1014,1,熟食,576.33,386.15
1015,商品-1015,2,饼干,504.36,362.93
1016,商品-1016,3,饮料,652.26,546.72
1017,商品-1017,4,清洁,422.80,345.76
1018,商品-1018,5,纸品,1189.46,785.68
1019,商品-1019,6,小家电,434.66,365.05
1020,商品-1020,1,蔬果,273.67,177.20
1021,商品-1021,2,肉禽,297.13,232.69
1022,商品-1022,3,水产,142.44,108.59
1023,商品-1023,4,米面,273.87,192.57
1024,商品-1024,5,食用油,809.42,591.60
1025,商品-1025,6,乳品,1646.65,1275.54
1026,商品-1026,1,熟食,79.05,62.70
1027,商品-1027,2,饼干,919.21,721.08
1028,商品-1028,3,饮料,761.67,497.28
1029,商品-1029,4,清洁,224.50,144.19
1030,商品-1030,5,纸品,1022.06,767.05
1031,商品-1031,6,小家电,1130.96,894.42
1032,商品-1032,1,蔬果,486.95,296.77
1033,商品-1033,2,肉禽,162.24,110.80
1034,商品-1034,3,水产,679.50,483.42
1035,商品-1035,4,米面,1992.05,1500.22
1036,商品-1036,5,食用油,314.88,236.95
1037,商品-1037,6,乳品,1767.11,1436.37
1038,商品-1038,1,熟食,348.70,242.94
1039,商品-1039,2,饼干,118.41,94.13
1040,商品-1040,3,饮料,1779.45,1135.42
1041,商品-1041,4,清洁,883.77,700.62
1042,商品-1042,5,纸品,2388.23,1919.41
1043,商品-1043,6,小家电,3418.06,2392.77
1044,商品-1044,1,蔬果,50.51,33.49
1045,商品-1045,2,肉禽,521.13,416.75
1046,商品-1046,3,水产,64.49,46.53
1047,商品-1047,4,米面,1457.86,1178.53
1048,商品-1048,5,食用油,2016.46,1532.54
1049,商品-1049,6,乳品,1375.80,842.87
1050,商品-1050,1,熟食,384.14,317.08
1051,商品-1051,2,饼干,735.63,563.05
1052,商品-1052,3,饮料,1479.35,1038.89
1053,商品-1053,4,清洁,2462.54,1483.42
1054,商品-1054,5,纸品,286.89,186.22
1055,商品-1055,6,小家电,2967.81,1910.42
1056,商品-1056,1,蔬果,463.65,311.60
1057,商品-1057,2,肉禽,404.18,249.34
1058,商品-1058,3,水产,234.90,191.60
1059,商品-1059,4,米面,2585.28,1866.73
1060,商品-1060,5,食用油,2782.93,2085.32
1061,商品-1061,6,乳品,3038.55,2235.04
1062,商品-1062,1,熟食,31.45,22.97
1063,商品-1063,2,饼干,398.63,323.75
1064,商品-1064,3,饮料,1715.67,1230.76
1065,商品-1065,4,清洁,948.13,797.91
1066,商品-1066,5,纸品,2547.59,2104.68
1067,商品-1067,6,小家电,956.35,622.17
1068,商品-1068,1,蔬果,8.56,5.69
1069,商品-1069,2,肉禽,364.47,264.53
1070,商品-1070,3,水产,835.74,594.99
1071,商品-1071,4,米面,1085.90,882.93
1072,商品-1072,5,食用油,3113.28,2335.70
1073,商品-1073,6,乳品,1102.63,758.54
1074,商品-1074,1,熟食,654.73,461.68
1075,商品-1075,2,饼干,267.32,191.66
1076,商品-1076,3,饮料,1315.72,868.44
1077,商品-1077,4,清洁,1663.44,1123.15
1078,商品-1078,5,纸品,2994.59,2373.47
1079,商品-1079,6,小家电,2742.21,2230.20
1080,商品-1080,1,蔬果,447.56,346.54
1081,商品-1081,2,肉禽,817.84,591.49
1082,商品-1082,3,水产,97.25,81.99
1083,商品-1083,4,米面,973.77,604.02
1084,商品-1084,5,食用油,102.33,72.90
1085,商品-1085,6,乳品,636.53,535.11
1086,商品-1086,1,熟食,390.02,279.18
1087,商品-1087,2,饼干,1168.90,912.36
1088,商品-1088,3,饮料,504.32,393.49
1089,商品-1089,4,清洁,2208.45,1516.50
1090,商品-1090,5,纸品,2023.89,1562.64
1091,商品-1091,6,小家电,1656.93,1285.19
1092,商品-1092,1,蔬果,421.53,262.38
1093,商品-1093,2,肉禽,49.81,39.29
1094,商品-1094,3,水产,898.11,657.42
1095,商品-1095,4,米面,2079.88,1534.95
1096,商品-1096,5,食用油,3155.72,2640.02
1097,商品-1097,6,乳品,3860.76,2850.56
1098,商品-1098,1,熟食,549.27,390.33
1099,商品-1099,2,饼干,71.82,51.96
1100,商品-1100,3,饮料,1935.30,1443.52
1101,商品-1101,4,清洁,428.67,315.27
1102,商品-1102,5,纸品,2579.63,1615.91
1103,商品-1103,6,小家电,2911.47,2288.90
1104,商品-1104,1,蔬果,580.42,357.88
1105,商品-1105,2,肉禽,637.18,477.40
1106,商品-1106,3,水产,939.92,610.14
1107,商品-1107,4,米面,2471.98,2094.91
1108,商品-1108,5,食用油,1570.62,1015.80
1109,商品-1109,6,乳品,2233.01,1634.41
1110,商品-1110,1,熟食,238.14,198.06
1111,商品-1111,2,饼干,706.63,470.39
1112,商品-1112,3,饮料,886.95,736.54
1113,商品-1113,4,清洁,1211.46,736.84
1114,商品-1114,5,纸品,1153.49,751.42
1115,商品-1115,6,小家电,294.73,205.05
1116,商品-1116,1,蔬果,634.17,416.69
1117,商品-1117,2,肉禽,1218.47,953.54
1118,商品-1118,3,水产,326.15,272.59
1119,商品-1119,4,米面,2182.70,1542.64
1120,商品-1120,5,食用油,406.76,282.53
1121,商品-1121,6,乳品,81.60,65.15
1122,商品-1122,1,熟食,266.77,212.42
1123,商品-1123,2,饼干,195.12,155.68
1124,商品-1124,3,饮料,1085.26,720.23
1125,商品-1125,4,清洁,2053.06,1638.38
1126,商品-1126,5,纸品,2197.42,1473.82
1127,商品-1127,6,小家电,3354.06,2592.74
1128,商品-1128,1,蔬果,72.77,54.77
1129,商品-1129,2,肉禽,253.16,180.75
1130,商品-1130,3,水产,1066.89,687.47
1131,商品-1131,4,米面,1702.13,1280.37
1132,商品-1132,5,食用油,2786.14,1767.42
1133,商品-1133,6,乳品,2196.24,1396.96
1134,商品-1134,1,熟食,306.50,226.15
1135,商品-1135,2,饼干,963.28,626.72
1136,商品-1136,3,饮料,1841.21,1427.30
1137,商品-1137,4,清洁,459.46,339.95
1138,商品-1138,5,纸品,2582.29,1923.81
1139,商品-1139,6,小家电,3178.79,2150.05
1140,商品-1140,1,蔬果,153.84,97.78
1141,商品-1141,2,肉禽,1270.02,984.36
1142,商品-1142,3,水产,1941.50,1355.07
1143,商品-1143,4,米面,1325.05,837.83
1144,商品-1144,5,食用油,434.12,275.70
1145,商品-1145,6,乳品,1484.08,960.88
1146,商品-1146,1,熟食,551.42,407.05
1147,商品-1147,2,饼干,1003.38,639.52
1148,商品-1148,3,饮料,982.58,694.85
1149,商品-1149,4,清洁,57.42,48.81
1150,商品-1150,5,纸品,2650.74,2120.38
1151,商品-1151,6,小家电,3482.36,2704.68
1152,商品-1152,1,蔬果,189.73,132.61
1153,商品-1153,2,肉禽,35.32,24.12
1154,商品-1154,3,水产,68.56,44.85
1155,商品-1155,4,米面,2058.03,1708.15
1156,商品-1156,5,食用油,751.13,623.17
1157,商品-1157,6,乳品,148.19,109.08
1158,商品-1158,1,熟食,394.30,249.85
1159,商品-1159,2,饼干,88.63,53.42
1160,商品-1160,3,饮料,152.73,91.69
1161,商品-1161,4,清洁,1898.94,1200.64
1162,商品-1162,5,纸品,2512.77,1967.45
1163,商品-1163,6,小家电,3544.06,2710.74
1164,商品-1164,1,蔬果,296.84,224.29
1165,商品-1165,2,肉禽,792.89,670.12
1166,商品-1166,3,水产,1163.02,948.45
1167,商品-1167,4,米面,1144.43,717.90
1168,商品-1168,5,食用油,1833.31,1414.88
1169,商品-1169,6,乳品,3792.26,3191.53
1170,商品-1170,1,熟食,106.25,87.40
1171,商品-1171,2,饼干,318.17,227.02
1172,商品-1172,3,饮料,421.49,295.54
1173,商品-1173,4,清洁,2226.12,1432.73
1174,商品-1174,5,纸品,2042.10,1497.55
1175,商品-1175,6,小家电,2480.89,1532.94
1176,商品-1176,1,蔬果,631.69,489.96
1177,商品-1177,2,肉禽,550.95,450.78
1178,商品-1178,3,水产,610.49,488.08
1179,商品-1179,4,米面,1332.79,988.92
1180,商品-1180,5,食用油,629.68,491.58
1181,商品-1181,6,乳品,1886.02,1490.81
1182,商品-1182,1,熟食,132.32,85.59
1183,商品-1183,2,饼干,183.65,146.89
1184,商品-1184,3,饮料,1769.33,1492.61
1185,商品-1185,4,清洁,124.31,85.78
1186,商品-1186,5,纸品,562.41,402.79
1187,商品-1187,6,小家电,2541.88,1856.51
1188,商品-1188,1,蔬果,468.42,350.97
1189,商品-1189,2,肉禽,254.91,177.37
1190,商品-1190,3,水产,745.87,573.94
1191,商品-1191,4,米面,1823.89,1383.10
1192,商品-1192,5,食用油,2360.55,1523.38
1193,商品-1193,6,乳品,3184.81,2436.05
1194,商品-1194,1,熟食,241.49,183.20
1195,商品-1195,2,饼干,838.31,505.19
1196,商品-1196,3,饮料,1019.88,649.15
1197,商品-1197,4,清洁,619.40,459.87
1198,商品-1198,5,纸品,2226.96,1800.06
1199,商品-1199,6,小家电,2307.64,1458.98
1200,商品-1200,1,蔬果,64.33,47.72
1201,商品-1201,2,肉禽,1100.27,907.84
1202,商品-1202,3,水产,163.22,129.12
1203,商品-1203,4,米面,1370.33,1099.05
1204,商品-1204,5,食用油,133.74,85.48
1205,商品-1205,6,乳品,714.58,489.72
1206,商品-1206,1,熟食,202.77,127.87
1207,商品-1207,2,饼干,177.25,130.64
1208,商品-1208,3,饮料,1889.25,1574.16
1209,商品-1209,4,清洁,310.36,241.82
1210,商品-1210,5,纸品,406.66,247.14
1211,商品-1211,6,小家电,1980.28,1388.34
1212,商品-1212,1,蔬果,583.42,396.60
1213,商品-1213,2,肉禽,357.95,284.10
1214,商品-1214,3,水产,1522.60,1055.66
1215,商品-1215,4,米面,1646.18,1036.43
1216,商品-1216,5,食用油,2877.67,2407.20
1217,商品-1217,6,乳品,2118.55,1343.93
1218,商品-1218,1,熟食,239.19,176.43
1219,商品-1219,2,饼干,1080.78,825.57
1220,商品-1220,3,饮料,531.23,381.11
1221,商品-1221,4,清洁,2175.50,1825.28
1222,商品-1222,5,纸品,590.87,485.65
1223,商品-1223,6,小家电,1896.18,1532.60
1224,商品-1224,1,蔬果,529.44,388.46
1225,商品-1225,2,肉禽,813.53,531.11
1226,商品-1226,3,水产,707.82,578.23
1227,商品-1227,4,米面,1550.57,1037.13
1228,商品-1228,5,食用油,1989.91,1564.50
1229,商品-1229,6,乳品,1166.50,729.37
1230,商品-1230,1,熟食,366.53,260.30
1231,商品-1231,2,饼干,1131.97,771.82
1232,商品-1232,3,饮料,1518.89,1147.71
1233,商品-1233,4,清洁,2059.12,1505.22
1234,商品-1234,5,纸品,1882.66,1454.77
1235,商品-1235,6,小家电,2309.02,1780.83
1236,商品-1236,1,蔬果,361.42,295.52
1237,商品-1237,2,肉禽,1192.21,776.89
1238,商品-1238,3,水产,83.38,58.93
1239,商品-1239,4,米面,2670.05,1835.57
1240,商品-1240,5,食用油,3106.11,2551.10
1241,商品-1241,6,乳品,380.52,277.31
1242,商品-1242,1,熟食,89.67,72.89
1243,商品-1243,2,饼干,7.10,4.75
1244,商品-1244,3,饮料,1160.33,888.26
1245,商品-1245,4,清洁,2291.23,1459.25
1246,商品-1246,5,纸品,2330.45,1621.58
1247,商品-1247,6,小家电,3861.98,3049.49
1248,商品-1248,1,蔬果,614.97,510.59
1249,商品-1249,2,肉禽,1244.81,848.25
1250,商品-1250,3,水产,1943.55,1609.40
1251,商品-1251,4,米面,542.04,374.46
1252,商品-1252,5,食用油,1446.56,1121.01
1253,商品-1253,6,乳品,2262.31,1695.25
1254,商品-1254,1,熟食,385.25,261.51
1255,商品-1255,2,饼干,740.17,468.53
